没有你的未来，未来没有意义,犬夜叉
我能够允许你逃避过去，不过至少从现在或者明天开始都不要再逃避。,无头骑士异闻录
成功率不到2%，那剩下的用勇气来补足吧！,勇者王
找不到路，就自己走一条出来。,
男人就应该保持冷静，沸腾的水只会被蒸发掉。,假面骑士kabuto
取少量学生放入试管，加入过量作业，生成学霸溶液和不溶于水的学渣。过滤，在学渣中加入过量浓试卷，学渣迅速溶解且产生气泡，学霸则无明显现象。,网络
想哭的时候就笑吧，全力的大笑吧，笑的同时就真的会变的开心起来，而那将会变成下一次的能量。,《游戏王ARC-V》
"所有人都遗忘的事,我们能不能认为它们没有发生过呢",自己
不！这不可能，我才是这里的主人！你们这些凡人对我来说一无是处！听到了没有？一无是处！,大剑
神即道，道法自然，如来。,遥远的救世主
喵喵喵=w=,
要来我家解除诅咒吗?,C3 -魔方少女-
我一菊花让他们震精,肉丸的日常
我爱你，如同爱食物里的盐。,李尔王
要超越过去与悲伤，用坚强和笑容去开拓明天。,伊苏
就是这样，不管失败了多少次——不管自己处于多么不堪的状态，贤治仍旧坚持着他的理想。 希望能在某一天，成为自己在心里向往着的那样的人。 小美羽，你向往着的，又是怎样的人生呢?,文学少女
嗯，一个人也要加油，我是坚强的孩子。,AIR
“像你这样的白痴是怎么活过来的？”“因为我很自信。,海贼王
当世界背叛你的那天到来时，我会为你背叛全世界。,别的人
在那之间的差距，是莎士比亚与安徒生。,网络
如果你都不知道自己想去哪里，那去哪里都是一样的。,柴郡猫
我们也许再也不会见面了吧，因此我绝对不会忘了你的声音，你的眼眸，与你一起看到过的所有的景色，以及，与你一起度过的那个耀眼的夏天。,草莓％
时间并不存在，存在的只有此刻。,魔女猎人
天空是连着的，如果我们也能各自发光的话，无论距离有多远，都能看到彼此努力的身影。,龙与虎
如果你是我该多好，那你就会知道我有多难过，多喜欢你。,某动画
"梦想是现实的延续,现实是梦想的终结.",EVA
所谓的奇迹就是要发生之后才会有价值存在的吧,EVA
无法飞翔的翅膀也是有意义的，因为它是曾经翱翔于天空所留下的珍贵回忆.,AIR
人的记忆本来就是暧昧的，不值得信任。,叛逆的鲁鲁修R2
爱迪生说过：“要把BOSS打倒就要准备足够的等级。,学生会的一己之见
"梦想是现实的延续,现实是梦想的终结。",EVA
错的不是我， 错的是世界。,School Day
"雪为什么是白色的,因为它忘记了自己曾经的颜色。",叛逆的鲁路修
虚伪的眼泪，会伤害别人，虚伪的笑容，会伤害自己。,叛逆的鲁路修
复杂的世界一个就够了。,
"某种宗教的苦修,越得不到回应,就越受折磨，越受折磨,就越渴盼神恩，也就要更苦的苦修, 以更多折磨,来证明自己的忠贞,祈求神的怜悯。然而那位神,继续无回应。你越不理我,我越感到：爱你,是我唯一的处路。。",蔡康永
能原谅女人说谎的才是男人。,海贼王
Time waits for no one.,穿越时空的少女
『时间并不存在，存在的只有此刻。』,魔女猎人
『懂得认输是非常重要的，不尝到失败的不甘，也就不会明白跌倒后怎么爬起来，更不可能再向前迈进。』,笨蛋测试召唤兽
『我发过誓，再也不装作没察觉，再也不逃避。』,文学少女
『我们不应该根据背负的罪孽来选择道路，而应在选择的道路上背负自己的罪孽。』,空之境界
『不能逃避，不能逃避，不能逃避，不能逃避⋯⋯』,EVA
『不习惯的事越来越多，但我仍在前进⋯⋯就算步伐很小，我也在一步一步的前进。』,夏目友人帐
『成熟不是人的心变老，是泪在打转还能微笑。』,网络
